1001055,1,1
1001055,10,1
1001055,11,1
1001055,12,1
1001055,13,1
1001055,57,2
1001055,14,1
1001055,15,1
1001055,16,1
1001055,26,1
1001055,34,1
1001055,41,1
1001055,80,1
1001055,86,1
1001055,89,1
1001055,93,1
1001055,108,1
1001072,11,1
1001072,29,1
1001072,45,1
1001072,28,2
1001072,55,1
1001072,30,1
1001072,20,1
1001072,83,1
1001072,18,1
1001072,85,1
1001072,31,1
1001072,32,1
1001072,84,1
1001072,53,2
1001072,57,1
1001072,12,1
1001072,62,2
1001072,61,2
1001072,59,1
1001072,13,1
1001072,1,1
1001072,10,1
1001072,86,1
1001072,54,1
1001072,33,2
1001072,56,1
1001072,21,1
1001575,54,1
1001575,61,1
1001575,85,1
1001575,83,1
1001575,55,2
1001575,57,1
1001575,25,1
1001575,82,2
1001575,19,1
1001575,31,1
1001575,32,1
1001575,34,1
1001575,56,1
1001575,74,1
1001575,63,1
1001673,54,2
1001673,11,2
1001673,15,1
1001673,89,2
1001673,10,1
1001673,14,2
1001673,1,1
1001673,108,1
1001673,31,1
1001067,12,1
1001067,30,1
1859392,57,1
1859392,54,1
1859392,55,1
1859392,52,1
1859392,56,1
1001036,62,1
1001068,1,1
1001068,27,1
1001068,17,1
1798061,27,1
1001068,53,1
1001068,56,1
1001068,52,1
1001068,30,1
1798061,30,1
1798061,84,1
1798061,85,1
1798061,88,1
1798061,83,1
1798061,54,1
1798061,18,1
1798061,20,1
1798061,21,1
1798061,23,1
1798061,81,1
1798061,55,1
1798061,56,1
1798061,61,1
1798061,57,1
1798061,58,2
1798061,59,1
1798061,19,1
1798061,25,1
1798061,64,1
1798061,31,1
1798061,32,1
1798061,28,1
1798061,17,1
1798061,1,1
1798061,12,1
1798061,13,1
1798061,93,1
1798061,108,1
1798061,89,2
1798061,33,1
1798061,11,2
1798061,15,1
1798061,26,1
1798061,34,1
1798061,53,2
1798061,29,1
1035848,34,1
1035848,41,1
1035848,80,1
1035848,86,1
1035848,108,2
1035848,26,1
1035848,11,1
1035848,15,2
1035848,16,1
1798061,90,1
1798061,22,1
1872613,22,1
1872613,32,1
1872613,27,1
1872613,28,1
1872613,1,1
1872613,10,1
1872613,11,1
1872613,12,2
1872613,13,2
1872613,14,2
1872613,15,1
1872613,55,1
1872613,31,1
1872613,33,1
1872613,29,1
1001067,52,2
1001067,59,1
1001067,61,1
1001068,28,1
1001068,31,1
1001068,32,1
1001306,1,1
1001306,10,1
1001306,11,1
1001306,12,1
1001306,13,1
1001306,93,1
1001068,29,1
1001306,26,2
1001306,108,2
1001306,14,2
1001306,89,1
1001306,41,1
1001306,16,1
1798061,82,1
1798061,52,1
1798061,16,1
1001306,31,2
1001306,32,1
1798061,106,2
1798061,107,1
1872580,34,2
1019121,1,1
1019121,10,2
1019121,11,2
1019121,12,2
1019121,13,2
1019121,14,2
1019121,15,2
1019121,16,2
1019121,26,2
1019121,34,2
1798061,40,1
1798061,35,2
1798061,39,2
1798061,96,1
1017257,66,2
1017257,67,1
1017257,55,1
1017257,58,1
1017257,59,1
1035848,12,2
1017257,61,1
1017257,52,1
1017257,57,1
1017257,62,1
1017257,11,2
1017257,10,1
1017257,1,1
1017257,41,1
1017257,13,1
1017257,60,1
1017257,23,1
1017257,25,1
1017257,64,1
1017257,19,1
1017257,17,1
1017257,18,1
1017257,56,1
1017257,73,2
1017257,72,1
1017257,87,1
1017257,70,1
1017257,84,1
1017257,90,2
1017257,85,1
1017257,54,1
1017257,81,1
1017257,24,1
1017257,27,1
1017257,28,1
1017257,31,1
1017257,30,1
1017257,82,2
1017257,83,1
1627300,34,2
1627300,26,2
1627300,13,2
1627300,12,2
1627300,10,2
1001097,10,2
1001097,28,1
1001097,29,2
1001097,30,2
1001097,31,2
1001068,54,1
1001068,61,2
1001068,57,2
1001068,58,1
1001068,20,1
1001068,13,1
1001068,15,1
1001068,55,1
1001068,21,1
1001068,23,1
1001068,25,1
1001068,64,1
1001068,81,1
1001068,18,1
1001068,12,1
1001068,11,1
1001068,80,1
1001097,46,1
1001097,100,1
1001068,16,1
1001097,101,1
1019121,41,2
1001097,42,1
1872613,30,2
1872613,54,2
1872613,56,1
1872613,62,1
1872613,58,2
1001068,59,2
1001097,43,2
1001097,45,2
1001097,44,1
1001068,33,1
1868084,31,1
1868084,32,1
1001068,10,1
1001068,108,1
1868084,30,2
1868084,33,1
1868084,27,2
1868084,28,1
1868084,55,1
1868084,56,1
1001068,84,1
1001068,83,2
1001068,85,1
1001068,93,1
1001068,86,1
1872672,31,1
1872672,33,1
1872672,32,1
1872672,85,1
1872672,22,1
