track_id	track_name
7023982	过火 (Live)
7049788	宝贝 (in a day)
7108122	光芒
7265032	不要让女人轻易流眼泪
7420880	站在草原望北京
9077839	丢手绢
9084468	Es Rappelt Im Karton
9478718	また君と (再度和你)
101798205	This Is the Life
102053649	中国喜事
102055515	美人
102210521	宠爱
102340968	扯
102383335	听着情歌流眼泪
102386024	中国人
102418437	Beautiful Now
102869467	波斯猫 (Live)
102946886	夏音
104116356	我会好好的
104997029	不管有多苦
105082440	妈妈的宝
105292149	Welcome To New York
105503773	无敌
105536832	李宗盛《漂洋过海来看你》 (节目)
105541191	西海情歌 (笛子版本)
105577778	问情 (Live)
105751918	莫斯科没有眼泪
105784676	泡沫 (PÀO MÒ Remix)
105870002	在	也不见
105988777	三只小猪的真实故事 (节目)
106617376	美女跳楼记
106704305	等一个晴天
107358579	Hero
107537223	Jeg vil heller ha deg
107848721	邂逅
108499526	过年
108654272	朋友别哭 (Live)
108958531	我要你
108998626	你知道我在等你吗
109005773	That Girl
109116613	Solo Dance
109393831	回忆总想哭 (DJ版)
109425253	拥抱你离去 (DJ版)
120841125	海蜇创作的原声
125296124	卷席筒之小仓娃我离了登封小县 (豫剧版)
125591195	游子梦
125836984	爱过了也伤过了 (Live)
200395796	一百万个可能 (DJ版)
200526045	Digital Love
200733105	多幸运 (DJ版)
201020983	南山南 (Live)
201033935	你就不要想起我
201659101	Nothing to Say
201671998	眉间雪 (男版)
202087264	想自由
202497233	且听风吟
203861946	Legends Never Die
204234905	伤过的心
204275873	How Long
205003756	十七
205456246	刚好
210060317	静静的湖边
211668021	猎户星座
211700929	I Know You (Acoustic)
211988085	缺氧
212069431	鱼书
212085723	缘分五月
212683037	追光者 (Live)
212809426	Complicated
212885807	爱的故事上集
212896562	痛哭的人 (Live)
212912172	你的出现
213015661	夜之歌
213213159	听不完的情歌流不完的泪
213227787	月下独酌 (Live)
213736732	假装
213781301	往后余生 (Demo)
213822059	伤情
213999262	奋不顾身
215429341	体面 (Live)
216005563	无我（WORK）
216081248	像我这样的人 (Live)
216699790	无法忘记你
216768309	我慢慢的听雪落下的声音
217517615	1-10表白体
217556753	Way Back Home (抖音版)
217600346	落
217872158	丽江姑娘
218224540	贝贝
218228746	沙漠骆驼 (电音版)
218952179	爸爸妈妈听我说
220095167	小白兔遇上卡布奇诺
223213737	相伴
223475516	短发 (Live)
224418938	年少有为 (Live)
225904043	探清水河（小青岛版）
226093085	光明
226573463	不染 (Live)
227859739	好想大声说爱你 (Live)
227987333	欢喜年
228053949	午夜圆舞曲
228311310	直到有天我们都变老
228318087	情歌2019
228548384	恭喜您红火 (Live)
42	See You Again
101	我的天空
279	崖山哀
345	Hymn For The Weekend (Remix)
370	花火
376	眉间雪 ( 剧情版)
451	Bila
460	山野
549	5D唯美环绕超好听 (djRemix)
576	潇潇雨未歇
632	桜、舞い散るあの丘へ
711	纯阳宫
786	Believe Me
787	Shadow Of The Day
810	爱超速
817	再也没有
880	SCREAM
881	Shake The World (세상을 흔들어)
900	Sing Me to Sleep
925	浮生
946	结婚
955	It's So Easy
967	化身孤岛的鲸
16235	传说 (铃声)
100565	承诺 The Promise
105897	独一无二
127457	聊聊天
146519	边做边爱
150025	爱的呼唤
161703	热血燃烧
162479	小姐真美丽
168710	Numb
171885	老鼠爱大米
233530	喀什噶尔胡杨
233535	守候在凌晨两点的伤心秀吧
248963	花开自在
252147	【黄梅戏】天仙配
270121	永远等待
389499	We Are One
398024	北京北京
444617	收藏
466722	夜的第七章
471650	幸福意外
474751	种太阳
474761	小白兔乖乖
615546	烛光里的妈妈
654667	不是因为寂寞才想你
705430	婚礼进行曲 (Wedding March)
711490	小伤口
718274	黄金甲
744151	开心马骝
807557	Wish You Were Here
874841	爱情里没有谁对谁错
1021232	上心
1029049	西湖春天
1106481	面具
1174810	草原情哥哥
1204966	当爱已成往事
1247465	梨花颂
1251166	浮夸
1269325	Fade To Black
1488543	狂草
1490891	Inside Out
1518873	铁血丹心
1531817	幻听
1539873	没有什么不同
1543963	天籁之爱
1833056	Awakening
1833631	你好毒
2244095	Scarborough Fair (斯卡布罗集市)
2801016	最好的未来
3582636	我喜欢
4719584	是酒也是泪
4748166	洋葱 (Live)
4767191	不要用我的爱来伤害我
4794787	音响专用慢摇
4799199	黄昏 (DJ Anjoe Remix)
4830911	愿得一人心
4884604	把我还给我
4927738	单身情歌
4945170	北风
5004485	阿莲
5021949	一起摇摆
5023426	朋友别哭
5163491	劲歌金曲
5211334	逆光
5215855	花房姑娘 (Live)
5232935	我是不是你最疼爱的人
5233806	马航 让我回家
5520052	Me And My Broken Heart
5666044	Night Like This
7046916	风中的承诺
7098571	当爱已成往事
7108185	狂狼曲
7168682	为了谁
7204488	此生难遗忘
8044015	My Collection
8158135	好可惜
9108824	新贵妃醉酒
9256286	鱼 (Live)
